DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,
31/12/2015,7897.8,7955.55,7891.15,7946.35,0
01/01/2016,7938.45,7972.55,7909.8,7963.2,0
04/01/2016,7924.55,7937.55,7781.1,7791.3,0
05/01/2016,7828.4,7831.2,7763.25,7784.65,0
06/01/2016,7788.05,7800.95,7721.2,7741,0
07/01/2016,7673.35,7674.95,7556.6,7568.3,0
08/01/2016,7611.65,7634.1,7581.05,7601.35,0
11/01/2016,7527.45,7605.1,7494.35,7563.85,0
12/01/2016,7587.2,7588.3,7487.8,7510.3,0
13/01/2016,7557.9,7590.95,7425.8,7562.4,0
14/01/2016,7467.4,7604.8,7443.8,7536.8,0
15/01/2016,7561.65,7566.5,7427.3,7437.8,0
18/01/2016,7420.35,7463.65,7336.4,7351,0
19/01/2016,7381.8,7462.75,7364.15,7435.1,0
20/01/2016,7357,7470.9,7241.5,7309.3,0
21/01/2016,7376.65,7398.7,7250,7276.8,0
22/01/2016,7355.7,7433.4,7327.6,7422.45,0
25/01/2016,7468.75,7487.15,7421.2,7436.15,0
27/01/2016,7469.6,7477.9,7419.7,7437.75,0
28/01/2016,7426.5,7468.85,7409.6,7424.65,0
29/01/2016,7413.35,7575.65,7402.8,7563.55,0
01/02/2016,7589.5,7600.45,7541.25,7555.95,0
02/02/2016,7566.65,7576.3,7428.05,7455.55,0
03/02/2016,7392.45,7419.4,7350.3,7361.8,0
04/02/2016,7411.45,7457.05,7365.95,7404,0
05/02/2016,7418.25,7503.15,7406.65,7489.1,0
08/02/2016,7489.7,7512.55,7363.2,7387.25,0
09/02/2016,7303.95,7323.45,7275.15,7298.2,0
10/02/2016,7264.3,7271.85,7177.75,7215.7,0
11/02/2016,7203.6,7208.65,6959.95,6976.35,0
12/02/2016,7023.65,7034.8,6869,6980.95,0
15/02/2016,7057.35,7182.8,7056.8,7162.95,0
16/02/2016,7201.25,7204.65,7037.7,7048.25,0
17/02/2016,7058.85,7123.7,6960.65,7108.45,0
18/02/2016,7177.4,7215.1,7127.85,7191.75,0
19/02/2016,7170.55,7226.85,7145.95,7210.75,0
22/02/2016,7208.85,7252.4,7200.7,7234.55,0
23/02/2016,7240.3,7241.7,7090.7,7109.55,0
24/02/2016,7075,7090.8,7009.75,7018.7,0
25/02/2016,7029.85,7034.2,6961.4,6970.6,0
26/02/2016,7039.3,7052.9,6985.1,7029.75,0
29/02/2016,7050.45,7094.6,6825.8,6987.05,0
01/03/2016,7038.25,7235.5,7035.1,7222.3,0
02/03/2016,7321.7,7380.35,7308.15,7368.85,0
03/03/2016,7429.55,7483.95,7406.05,7475.6,0
04/03/2016,7505.4,7505.9,7444.1,7485.35,0
08/03/2016,7486.4,7527.15,7442.15,7485.3,0
09/03/2016,7436.1,7539,7424.3,7531.8,0
10/03/2016,7545.35,7547.1,7447.4,7486.15,0
11/03/2016,7484.85,7543.95,7460.6,7510.2,0
14/03/2016,7542.6,7583.7,7515.05,7538.75,0
15/03/2016,7535.85,7545.2,7452.8,7460.6,0
16/03/2016,7457.05,7508,7405.15,7498.75,0
17/03/2016,7557.4,7585.3,7479.4,7512.55,0
18/03/2016,7534.65,7613.6,7517.9,7604.35,0
21/03/2016,7619.2,7713.55,7617.7,7704.25,0
22/03/2016,7695.55,7728.2,7643.8,7714.9,0
23/03/2016,7717.45,7726.85,7670.6,7716.5,0
28/03/2016,7741,7749.4,7587.7,7615.1,0
29/03/2016,7606.55,7652.9,7582.25,7597,0
30/03/2016,7651.1,7741.95,7643.45,7735.2,0
31/03/2016,7727.65,7777.6,7702,7738.4,0
01/04/2016,7718.05,7740.15,7666.1,7713.05,0
04/04/2016,7733.15,7764.45,7704.4,7758.8,0
05/04/2016,7736.3,7736.3,7588.65,7603.2,0
06/04/2016,7636.05,7638.65,7591.75,7614.35,0
07/04/2016,7630.4,7630.75,7535.85,7546.45,0
08/04/2016,7542.35,7569.35,7526.7,7555.2,0
11/04/2016,7577.8,7678.8,7516.85,7671.4,0
12/04/2016,7669.25,7717.4,7663.35,7708.95,0
13/04/2016,7777.15,7864.8,7772.2,7850.45,0
18/04/2016,7908.15,7920.6,7842.75,7914.7,0
20/04/2016,7950.05,7950.4,7877.55,7914.75,0
21/04/2016,7953.65,7978.45,7884.1,7912.05,0
22/04/2016,7891.8,7923.35,7873.35,7899.3,0
25/04/2016,7894.8,7911,7827,7855.05,0
26/04/2016,7828.15,7974.5,7822.55,7962.65,0
27/04/2016,7942,7991,7940.55,7979.9,0
28/04/2016,7967.4,7992,7834.45,7847.25,0
29/04/2016,7844.25,7889.05,7788.7,7849.8,0
02/05/2016,7822.7,7829.8,7777.3,7805.9,0
03/05/2016,7824.8,7890.25,7735.15,7747,0
04/05/2016,7724.15,7749,7697.25,7706.55,0
05/05/2016,7731,7777.55,7706.85,7735.5,0
06/05/2016,7717.65,7738.9,7678.35,7733.45,0
09/05/2016,7755.25,7873.65,7753.55,7866.05,0
10/05/2016,7873.55,7896.9,7837.7,7887.8,0
11/05/2016,7804.65,7893.1,7780.9,7848.85,0
12/05/2016,7871.45,7916.05,7849.65,7900.4,0
13/05/2016,7881,7881,7784.2,7814.9,0
16/05/2016,7831.2,7873.9,7772.15,7860.75,0
17/05/2016,7896.85,7940.1,7879.7,7890.75,0
18/05/2016,7846.75,7882.05,7810.75,7870.15,0
19/05/2016,7875.5,7876.2,7766.8,7783.4,0
20/05/2016,7792.2,7812.4,7735.75,7749.7,0
23/05/2016,7813.95,7820.6,7722.2,7731.05,0
24/05/2016,7738.05,7761.55,7715.8,7748.85,0
25/05/2016,7811.8,7941.2,7809.3,7934.9,0
26/05/2016,7974.45,8083,7948.5,8069.65,0
27/05/2016,8081.95,8164.2,8077.05,8156.65,0
30/05/2016,8166.5,8200,8150.8,8178.5,0
31/05/2016,8209.85,8213.6,8134.3,8160.1,0
01/06/2016,8179.2,8215.35,8171.05,8179.95,0
02/06/2016,8156.9,8229.5,8154.75,8218.95,0
03/06/2016,8246.2,8262,8209.85,8220.8,0
06/06/2016,8228.75,8234.7,8186.05,8201.05,0
07/06/2016,8235.55,8294.95,8216.4,8266.45,0
08/06/2016,8285.5,8288.9,8252.05,8273.05,0
09/06/2016,8273.35,8273.35,8184.6,8203.6,0
10/06/2016,8180.25,8265.6,8162.85,8170.05,0
13/06/2016,8102.25,8125.25,8063.9,8110.6,0
14/06/2016,8134.4,8134.95,8069.5,8108.85,0
15/06/2016,8139.4,8213.2,8123.15,8206.6,0
16/06/2016,8180.65,8180.65,8074.45,8140.75,0
17/06/2016,8176.65,8195.25,8135.8,8170.2,0
20/06/2016,8115.75,8244.15,8107.35,8238.5,0
21/06/2016,8255.4,8257.25,8202.15,8219.9,0
22/06/2016,8213.65,8238.35,8153.25,8203.7,0
23/06/2016,8201.15,8285.6,8188.3,8270.45,0
24/06/2016,8029.1,8100.7,7927.05,8088.6,0
27/06/2016,8039.35,8120.65,8039.35,8094.7,0
28/06/2016,8096.05,8146.35,8086.85,8127.85,0
29/06/2016,8173.1,8212.4,8157.65,8204,0
30/06/2016,8260.25,8308.15,8242.1,8287.75,0
01/07/2016,8313.05,8356.75,8308.65,8328.35,0
04/07/2016,8376.75,8398.45,8364.7,8370.7,0
05/07/2016,8379.3,8381.45,8319.95,8335.95,0
07/07/2016,8342,8361.95,8317.7,8337.9,0
08/07/2016,8350,8353.3,8287.55,8323.2,0
11/07/2016,8413.35,8475.25,8407.05,8467.9,0
12/07/2016,8502.6,8526.6,8479.2,8521.05,0
13/07/2016,8540.45,8550.25,8493.55,8519.5,0
14/07/2016,8515.75,8571.4,8500.7,8565,0
15/07/2016,8565.45,8594.8,8510.05,8541.4,0
18/07/2016,8564.05,8587.1,8494.35,8508.7,0
19/07/2016,8514.3,8540.05,8476.7,8528.55,0
20/07/2016,8515.45,8569.9,8512.55,8565.85,0
21/07/2016,8582.7,8585.25,8503.45,8510.1,0
22/07/2016,8519.65,8548.95,8489.8,8541.2,0
25/07/2016,8519.95,8641.15,8517.2,8635.65,0
26/07/2016,8633.75,8644.9,8577.15,8590.65,0
27/07/2016,8599.4,8665,8572.05,8615.8,0
28/07/2016,8636.95,8674.7,8625.25,8666.3,0
29/07/2016,8668.3,8670.35,8631.15,8638.5,0
01/08/2016,8654.3,8711.3,8590.5,8636.55,0
02/08/2016,8647.45,8687.2,8611.4,8622.9,0
03/08/2016,8635.2,8635.45,8529.6,8544.85,0
04/08/2016,8599.95,8601.4,8518.15,8551.1,0
05/08/2016,8600.2,8689.4,8590.15,8683.15,0
08/08/2016,8712.85,8723.5,8697.6,8711.35,0
09/08/2016,8727.8,8728.35,8638.2,8678.25,0
10/08/2016,8686.7,8690.1,8564.6,8575.3,0
11/08/2016,8572.8,8601.15,8540.05,8592.15,0
12/08/2016,8605.45,8684.3,8604.45,8672.15,0
16/08/2016,8670.25,8682.35,8600.45,8642.55,0
17/08/2016,8639.8,8667.1,8603.6,8624.05,0
18/08/2016,8648.85,8690.7,8645.05,8673.25,0
19/08/2016,8694.3,8696.6,8647.1,8666.9,0
22/08/2016,8667,8684.85,8614,8629.15,0
23/08/2016,8628.35,8642.15,8580,8632.6,0
24/08/2016,8648.5,8661.05,8620.9,8650.3,0
25/08/2016,8668.85,8683.05,8583.65,8592.2,0
26/08/2016,8614.35,8622.95,8547.55,8572.55,0
29/08/2016,8583.75,8622,8543.75,8607.45,0
30/08/2016,8646.75,8750.6,8642.25,8744.35,0
31/08/2016,8754.05,8819.2,8754.05,8786.2,0
01/09/2016,8793.6,8813.25,8759.95,8774.65,0
02/09/2016,8796.35,8824.1,8768.2,8809.65,0
06/09/2016,8852.7,8950.85,8848.45,8943,0
07/09/2016,8968.7,8968.7,8913.35,8917.95,0
08/09/2016,8915.5,8960.35,8896,8952.5,0
09/09/2016,8934.3,8939.15,8858.7,8866.7,0
12/09/2016,8732.95,8746.95,8699.4,8715.6,0
14/09/2016,8710.65,8739.85,8688.9,8726.6,0
15/09/2016,8743.85,8751.95,8704.35,8742.55,0
16/09/2016,8780.85,8847.65,8750.5,8779.85,0
19/09/2016,8788.45,8824.3,8774.2,8808.4,0
20/09/2016,8816.1,8816.45,8759.3,8775.9,0
21/09/2016,8790.3,8826.85,8757.3,8777.15,0
22/09/2016,8873.35,8893.35,8837.8,8867.45,0
23/09/2016,8880.75,8885.2,8820.3,8831.55,0
26/09/2016,8807.9,8809.55,8715.1,8723.05,0
27/09/2016,8748.9,8768.5,8690.5,8706.4,0
28/09/2016,8711.2,8767.05,8703.15,8745.15,0
29/09/2016,8792.7,8800.65,8558.25,8591.25,0
30/09/2016,8581.5,8637.15,8555.2,8611.15,187333285
03/10/2016,8666.15,8745.2,8635,8738.1,141472076
04/10/2016,8770,8783.65,8736.1,8769.15,189990151
05/10/2016,8806.35,8806.95,8731.4,8743.95,162103951
06/10/2016,8768.7,8781.15,8684.65,8709.55,168713605
07/10/2016,8721.7,8723.7,8663.8,8697.6,155053800
10/10/2016,8735.35,8745.8,8703.95,8708.8,111794053
13/10/2016,8671.5,8681.55,8541.35,8573.35,218861324
14/10/2016,8594,8604.45,8549.8,8583.4,167848947
17/10/2016,8612.95,8615.4,8506.15,8520.4,203516577
18/10/2016,8556.05,8685.1,8555.9,8677.9,216626083
19/10/2016,8697.5,8698.75,8636.7,8659.1,177397872
20/10/2016,8693.35,8727,8678.3,8699.4,165952091
21/10/2016,8708.6,8709.1,8652.05,8693.05,162162047
24/10/2016,8709.85,8736.95,8684.15,8708.95,161966274
25/10/2016,8721.7,8722.65,8663.45,8691.3,195696479
26/10/2016,8657.3,8657.3,8596.6,8615.25,226133074
27/10/2016,8607.1,8624.85,8550.25,8615.25,250336333
28/10/2016,8625,8653.75,8581.75,8638,180906084
01/11/2016,8653.15,8669.6,8614.5,8626.25,170068995
02/11/2016,8542.8,8549.5,8504.85,8514,160130480
03/11/2016,8499.85,8537.65,8476.15,8484.95,175773254
04/11/2016,8503.6,8504,8400.25,8433.75,231783152
07/11/2016,8535.75,8535.85,8481.45,8497.05,178070534
08/11/2016,8540,8559.4,8480.1,8543.55,201759648
09/11/2016,8067.5,8476.2,8002.25,8432,323968654
10/11/2016,8555.6,8598.45,8510.7,8525.75,271196930
11/11/2016,8456.65,8460.6,8284.95,8296.3,275221694
15/11/2016,8284.85,8288.55,8093.2,8108.45,370298063
16/11/2016,8205.65,8210.05,8089.4,8111.6,277801233
17/11/2016,8105.1,8151.25,8060.3,8079.95,197183084
18/11/2016,8097.55,8128.95,8048.3,8074.1,166199545
21/11/2016,8102.1,8102.45,7916.4,7929.1,225608889
22/11/2016,7989.15,8019.05,7938.15,8002.3,216677654
23/11/2016,8051.2,8055.2,7973.1,8033.3,186602328
24/11/2016,8011.8,8024.85,7952.55,7965.5,268619026
25/11/2016,8007.95,8122.25,7976.75,8114.3,183355873
28/11/2016,8080.65,8146.5,8066.5,8126.9,195595287
29/11/2016,8131.55,8197.35,8128.7,8142.15,195618384
30/11/2016,8172.15,8234.25,8139.25,8224.5,255725357
01/12/2016,8244,8250.8,8185.05,8192.9,162597213
02/12/2016,8153.55,8159.3,8070.05,8086.8,176767415
05/12/2016,8088.75,8141.9,8056.85,8128.75,130435865
06/12/2016,8153.15,8178.7,8130.85,8143.15,118854323
07/12/2016,8168.4,8190.45,8077.5,8102.05,175024334
08/12/2016,8152.1,8256.25,8151.75,8246.85,146857616
09/12/2016,8271.7,8274.95,8241.95,8261.75,154344775
12/12/2016,8230.65,8230.65,8154.45,8170.8,111432551
13/12/2016,8196.15,8228.85,8155.8,8221.8,189739559
14/12/2016,8229.35,8229.4,8165.1,8182.45,149132520
15/12/2016,8128.4,8225.9,8121.95,8153.6,187425988
16/12/2016,8178.2,8178.7,8127.45,8139.45,209268331
19/12/2016,8126,8132.5,8094.85,8104.35,110669713
20/12/2016,8110.6,8124.1,8062.75,8082.4,132026742
21/12/2016,8105.85,8112.55,8053.25,8061.3,127543733
22/12/2016,8043.85,8046.45,7964.95,7979.1,126409580
23/12/2016,7972.5,8022.6,7942.05,7985.75,127921701
26/12/2016,7965.1,7970.05,7893.8,7908.25,110171222
27/12/2016,7915.05,8044.65,7903.7,8032.85,122463312
28/12/2016,8047.55,8100.55,8028.4,8034.85,130580701
29/12/2016,8030.6,8111.1,8020.8,8103.6,183984077
30/12/2016,8119.65,8197,8114.75,8185.8,131457250
02/01/2017,8210.1,8212,8133.8,8179.5,122016111
03/01/2017,8196.05,8219.1,8148.6,8192.25,131186021
04/01/2017,8202.65,8218.5,8180.9,8190.5,136476345
05/01/2017,8226.65,8282.65,8223.7,8273.8,163957452
06/01/2017,8281.85,8306.85,8233.25,8243.8,143689850
09/01/2017,8259.35,8263,8227.75,8236.05,102211190
10/01/2017,8262.7,8293.8,8261,8288.6,147312927
11/01/2017,8327.8,8389,8322.25,8380.65,192285417
12/01/2017,8391.05,8417.2,8382.3,8407.2,177948383
13/01/2017,8457.65,8461.05,8373.15,8400.35,190949616
16/01/2017,8390.95,8426.7,8374.4,8412.8,127938836
17/01/2017,8415.05,8440.9,8378.3,8398,125781216
18/01/2017,8403.85,8460.3,8397.4,8417,168867039
19/01/2017,8418.4,8445.15,8404.05,8435.1,170956149
20/01/2017,8404.35,8423.65,8340.95,8349.35,208901233
23/01/2017,8329.6,8404.15,8327.2,8391.5,200993100
24/01/2017,8407.05,8480.95,8398.15,8475.8,184745781
25/01/2017,8499.45,8612.6,8493.95,8602.75,301490150
27/01/2017,8610.5,8672.7,8606.9,8641.25,283905821
30/01/2017,8635.55,8662.6,8617.75,8632.75,314110760
31/01/2017,8629.45,8631.75,8552.4,8561.3,537110119
01/02/2017,8570.35,8722.4,8537.5,8716.4,337797412
02/02/2017,8724.75,8757.6,8685.8,8734.25,292329202
03/02/2017,8735.15,8748.25,8707.75,8740.95,196936238
06/02/2017,8785.45,8814.1,8770.2,8801.05,200403782
07/02/2017,8805.7,8809.3,8741.05,8768.3,233294532
08/02/2017,8774.55,8791.25,8715,8769.05,225485726
09/02/2017,8795.55,8821.4,8724.1,8778.4,193282248
10/02/2017,8812.35,8822.1,8771.2,8793.55,232947341
13/02/2017,8819.8,8826.9,8754.2,8805.05,211180353
14/02/2017,8819.9,8820.45,8772.5,8792.3,194133563
15/02/2017,8778.95,8807.9,8712.85,8724.7,222828919
16/02/2017,8739,8783.95,8719.6,8778,190277738
17/02/2017,8883.7,8896.45,8804.25,8821.7,307526025
20/02/2017,8818.55,8886.25,8809.8,8879.2,173022362
21/02/2017,8890.75,8920.8,8860.95,8907.85,181091326
22/02/2017,8931.6,8960.75,8905.25,8926.9,254677956
23/02/2017,8956.4,8982.15,8927.55,8939.5,388874096
27/02/2017,8943.7,8951.8,8888.65,8896.7,195847099
28/02/2017,8898.95,8914.75,8867.6,8879.6,302722890
01/03/2017,8904.4,8960.8,8898.6,8945.8,212328974
02/03/2017,8982.85,8992.5,8879.8,8899.75,225608140
03/03/2017,8883.5,8907.1,8860.1,8897.55,208915878
06/03/2017,8915.1,8967.8,8914,8963.45,180194586
07/03/2017,8977.75,8977.85,8932.8,8946.9,178827506
08/03/2017,8950.7,8957.05,8891.95,8924.3,183325544
09/03/2017,8914.5,8945.8,8899.5,8927,176810453
10/03/2017,8953.7,8975.7,8903.95,8934.55,157419999
14/03/2017,9091.65,9122.75,9060.5,9087,278726933
15/03/2017,9086.85,9106.55,9075.5,9084.8,248033251
16/03/2017,9129.65,9158.45,9128.55,9153.7,215096446
17/03/2017,9207.8,9218.4,9147.6,9160.05,295554265
20/03/2017,9166.95,9167.6,9116.3,9126.85,342395900
21/03/2017,9133.95,9147.75,9087.2,9121.5,255396073
22/03/2017,9047.2,9072.9,9019.3,9030.45,239463699
23/03/2017,9048.75,9099.05,9048.6,9086.3,197705274
24/03/2017,9104,9133.55,9089.4,9108,210021581
27/03/2017,9093.45,9094.85,9024.65,9045.2,209036051
28/03/2017,9081.5,9110.4,9079.8,9100.8,188985603
29/03/2017,9128.7,9153.15,9109.1,9143.8,250902906
30/03/2017,9142.6,9183.15,9136.35,9173.75,333410368
31/03/2017,9158.9,9191.7,9152.1,9173.75,196771674
03/04/2017,9220.6,9245.35,9192.4,9237.85,143444541
05/04/2017,9264.4,9273.9,9215.4,9265.15,190529461
06/04/2017,9245.8,9267.95,9218.85,9261.95,191937207
07/04/2017,9223.7,9250.5,9188.1,9198.3,195918747
10/04/2017,9225.6,9225.65,9174.85,9181.45,139968750
11/04/2017,9184.55,9242.7,9172.85,9237,206261727
12/04/2017,9242.5,9246.4,9161.8,9203.45,166755013
13/04/2017,9202.5,9202.65,9144.95,9150.8,171695600
17/04/2017,9144.75,9160,9120.25,9139.3,132244225
18/04/2017,9163,9217.9,9095.45,9105.15,179569574
19/04/2017,9112.2,9120.5,9075.15,9103.5,179117382
20/04/2017,9108.1,9143.9,9102.65,9136.4,175629897
21/04/2017,9179.1,9183.65,9088.75,9119.4,159981265
24/04/2017,9135.35,9225.4,9130.55,9217.95,172908048
25/04/2017,9273.05,9309.2,9250.35,9306.6,173896951
26/04/2017,9336.2,9367,9301.35,9351.85,191395120
27/04/2017,9359.15,9367.15,9322.65,9342.15,215881711
28/04/2017,9340.95,9342.65,9282.25,9304.05,167229353
02/05/2017,9339.85,9352.55,9269.9,9313.8,166558241
03/05/2017,9344.7,9346.3,9298.4,9311.95,156342492
04/05/2017,9360.95,9365.65,9323.25,9359.9,277895923
05/05/2017,9374.55,9377.1,9272,9285.3,239133531
08/05/2017,9311.45,9338.7,9297.95,9314.05,179709949
09/05/2017,9337.35,9338.95,9307.7,9316.85,136417428
10/05/2017,9339.65,9414.75,9336,9407.3,157363135
11/05/2017,9448.6,9450.65,9411.3,9422.4,176439840
12/05/2017,9436.65,9437.75,9372.55,9400.9,159079418
15/05/2017,9433.55,9449.25,9423.1,9445.4,145163953
16/05/2017,9461,9517.2,9456.35,9512.25,171709433
17/05/2017,9517.6,9532.6,9486.1,9525.75,211856040
18/05/2017,9453.2,9489.1,9418.1,9429.45,199340647
19/05/2017,9469.9,9505.75,9390.75,9427.9,259861396
22/05/2017,9480.25,9498.65,9427.9,9438.25,202874757
23/05/2017,9445.05,9448.05,9370,9386.15,231345629
24/05/2017,9410.9,9431.9,9341.65,9360.55,218265181
25/05/2017,9384.05,9523.3,9379.2,9509.75,298147347
26/05/2017,9507.75,9604.9,9495.4,9595.1,225647631
29/05/2017,9560.05,9637.75,9547.7,9604.9,242266034
30/05/2017,9590.65,9635.3,9581.2,9624.55,199894193
31/05/2017,9636.55,9649.6,9609.25,9621.25,427053433
01/06/2017,9603.55,9634.65,9589.9,9616.1,181533283
02/06/2017,9657.15,9673.5,9637.45,9653.5,167195027
05/06/2017,9656.3,9687.2,9640.7,9675.1,131685021
06/06/2017,9704.25,9709.3,9630.2,9637.15,150379695
07/06/2017,9663.95,9678.55,9630.55,9663.9,165669924
08/06/2017,9682.4,9688.7,9641.5,9647.25,160165459
09/06/2017,9638.55,9676.25,9608.15,9668.25,163897548
12/06/2017,9646.7,9647.05,9598.5,9616.4,145786938
13/06/2017,9615.55,9654.15,9595.4,9606.9,133734363
14/06/2017,9621.55,9627.4,9580.45,9618.15,187378750
15/06/2017,9617.9,9621.4,9560.8,9578.05,176423424
16/06/2017,9595.45,9615.85,9565.5,9588.05,219808528
19/06/2017,9626.4,9673.3,9614.9,9657.55,146146062
20/06/2017,9670.5,9676.5,9643.75,9653.5,164437226
21/06/2017,9648.1,9650.45,9608.6,9633.6,148490556
22/06/2017,9642.65,9698.85,9617.75,9630,204888654
23/06/2017,9643.25,9647.65,9565.3,9574.95,180580579
27/06/2017,9594.05,9615.4,9473.45,9511.4,209593904
28/06/2017,9520.2,9522.5,9474.35,9491.25,177652206
29/06/2017,9522.95,9575.8,9493.8,9504.1,267283587
30/06/2017,9478.5,9535.8,9448.75,9520.9,185202600
03/07/2017,9587.95,9624,9543.55,9615,188690599
04/07/2017,9645.9,9650.65,9595.5,9613.3,149313755
05/07/2017,9619.75,9643.65,9607.35,9637.6,134849476
06/07/2017,9653.6,9700.7,9639.95,9674.55,152001940
07/07/2017,9670.35,9684.25,9642.65,9665.8,146232151
10/07/2017,9719.3,9782.15,9646.45,9771.05,40142973
11/07/2017,9797.45,9830.05,9778.85,9786.05,185322358
12/07/2017,9807.3,9824.95,9787.7,9816.1,150045594
13/07/2017,9855.8,9897.25,9853.45,9891.7,186866752
14/07/2017,9913.3,9913.3,9845.45,9886.35,164456602
17/07/2017,9908.15,9928.2,9894.7,9915.95,168596771
18/07/2017,9832.7,9885.35,9792.05,9827.15,303007860
19/07/2017,9855.95,9905.05,9851.65,9899.6,206376192
20/07/2017,9920.2,9922.55,9863.45,9873.3,166083004
21/07/2017,9899.6,9924.7,9838,9915.25,193286125
24/07/2017,9936.8,9982.05,9919.6,9966.4,179905535
25/07/2017,10010.55,10011.3,9949.1,9964.55,191206247
26/07/2017,9983.65,10025.95,9965.95,10020.65,203697844
27/07/2017,10063.25,10114.85,10005.5,10020.55,296782048
28/07/2017,9996.55,10026.05,9944.5,10014.5,197491415
31/07/2017,10034.7,10085.9,10016.95,10077.1,245096535
01/08/2017,10101.05,10128.6,10065.75,10114.65,190000516
02/08/2017,10136.3,10137.85,10054.2,10081.5,166463276
03/08/2017,10081.15,10081.15,9998.25,10013.65,198665837
04/08/2017,10008.6,10075.25,9988.35,10066.4,184082134
07/08/2017,10074.8,10088.1,10046.35,10057.4,141566282
08/08/2017,10068.35,10083.8,9947,9978.55,209645343
09/08/2017,9961.15,9969.8,9893.05,9908.05,174395293
10/08/2017,9872.85,9892.65,9776.2,9820.25,242820594
11/08/2017,9712.15,9771.65,9685.55,9710.8,294732998
14/08/2017,9755.75,9818.3,9752.1,9794.15,201613585
16/08/2017,9825.85,9903.95,9773.85,9897.3,226269013
17/08/2017,9945.55,9947.8,9883.75,9904.15,203652311
18/08/2017,9865.95,9865.95,9783.65,9837.4,253931517
21/08/2017,9864.25,9884.35,9740.1,9754.35,211627775
22/08/2017,9815.75,9828.45,9752.6,9765.55,189267122
23/08/2017,9803.05,9857.9,9786.75,9852.5,173815509
24/08/2017,9881.2,9881.5,9848.85,9857.05,190398702
28/08/2017,9907.15,9925.75,9882,9912.8,164493772
29/08/2017,9886.4,9887.35,9783.75,9796.05,178668444
30/08/2017,9859.5,9909.45,9850.8,9884.4,162704136
31/08/2017,9905.7,9925.1,9856.95,9917.9,337782004
01/09/2017,9937.65,9983.45,9909.85,9974.4,162730656
04/09/2017,9984.15,9988.4,9861,9912.85,153369495
05/09/2017,9933.25,9963.1,9901.05,9952.2,143522342
06/09/2017,9899.25,9931.55,9882.55,9916.2,153767846
07/09/2017,9945.85,9964.85,9917.2,9929.9,194626599
08/09/2017,9958.65,9963.6,9913.3,9934.8,168698771
11/09/2017,9971.75,10028.65,9968.8,10006.05,178409875
12/09/2017,10056.85,10097.55,10028.05,10093.05,188248293
13/09/2017,10099.25,10131.95,10063.15,10079.3,221608053
14/09/2017,10107.4,10126.5,10070.35,10086.6,232637517
15/09/2017,10062.35,10115.15,10043.65,10085.4,274799134
18/09/2017,10133.1,10171.7,10131.3,10153.1,160852680
19/09/2017,10175.6,10178.95,10129.95,10147.55,193345992
20/09/2017,10160.95,10171.05,10134.2,10141.15,205605243
21/09/2017,10139.6,10158.9,10058.6,10121.9,197710666
22/09/2017,10094.35,10095.05,9952.8,9964.4,233621596
25/09/2017,9960.1,9960.5,9816.05,9872.6,228206970
26/09/2017,9875.25,9891.35,9813,9871.5,196792799
27/09/2017,9920.6,9921.05,9714.4,9735.75,206305991
28/09/2017,9736.4,9789.2,9687.55,9768.95,396874518
29/09/2017,9814.3,9854,9775.35,9788.6,202350211
03/10/2017,9893.3,9895.4,9831.05,9859.5,167833406
04/10/2017,9884.35,9938.3,9850.65,9914.9,160993982
05/10/2017,9927,9945.95,9881.85,9888.7,152362417
06/10/2017,9908.15,9989.35,9906.6,9979.7,201858899
09/10/2017,9988.2,10015.75,9959.45,9988.75,148395842
10/10/2017,10013.7,10034,10002.3,10016.95,153246570
11/10/2017,10042.6,10067.25,9955.8,9984.8,195593061
12/10/2017,10011.2,10104.45,9977.1,10096.4,207106672
13/10/2017,10123.7,10191.9,10120.1,10167.45,237230047
16/10/2017,10207.4,10242.95,10175.1,10230.85,209327364
17/10/2017,10227.65,10251.85,10212.6,10234.45,201782377
18/10/2017,10209.4,10236.45,10175.75,10210.85,262111790
23/10/2017,10176.65,10224.15,10124.5,10184.85,224799211
24/10/2017,10218.55,10237.75,10182.4,10207.7,223914325
25/10/2017,10321.15,10340.55,10240.9,10295.35,612620774
26/10/2017,10291.8,10355.65,10271.85,10343.8,443036008
27/10/2017,10362.3,10366.15,10311.3,10323.05,322411410
30/10/2017,10353.85,10384.5,10344.3,10363.65,244193178
31/10/2017,10364.9,10367.7,10323.95,10335.3,239809700
01/11/2017,10390.35,10451.65,10383.05,10440.5,268270466
02/11/2017,10440.5,10453,10412.55,10423.8,207735021
03/11/2017,10461.55,10461.7,10403.6,10452.5,206101238
06/11/2017,10431.75,10490.45,10413.75,10451.8,199559409
07/11/2017,10477.15,10485.75,10340.8,10350.15,295830692
08/11/2017,10361.95,10384.25,10285.5,10303.15,282950322
09/11/2017,10358.65,10368.45,10266.95,10308.95,247606613
10/11/2017,10304.35,10344.95,10254.1,10321.75,287962940
13/11/2017,10322,10334.15,10216.25,10224.95,216799588
14/11/2017,10223.4,10248,10175.55,10186.6,314413476
15/11/2017,10171.95,10175.45,10094,10118.05,213836202
16/11/2017,10152.9,10232.25,10139.2,10214.75,188180035
17/11/2017,10324.55,10343.6,10268.05,10283.6,209592893
20/11/2017,10287.2,10309.85,10261.5,10298.75,151751415
21/11/2017,10329.25,10358.7,10315.05,10326.9,191859084
22/11/2017,10350.8,10368.7,10309.55,10342.3,162504058
